property,niche_ranking,University,State,Campus Life,Cost,Academic,Students,After College,Admissions,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,academics,athletics,dorms,student_life,campus,party,location,food,safety,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_overall,academic reputation,citation_per_faculty,employer_reputation,male,employment,from,to
Private,1,Stanford University,CA,8.38,19245,2,7000,80900,5,47940,47940,73900,80900,52/48,7000,A+,A+,A,A+,A+,B+,B,A+,B-,2,1188,2,550,5,1390-1580,98.7,100,99.4,100,52,92,1390,1580
Private,13,Vanderbilt University,TN,8.63,22937,50,6822,60900,12,45610,45610,47200,60900,50/50,6822,A+,A+,B,A+,A+,A+,A,A+,C+,20,#N/A,11,558,12,1430-1590,46.5,35.8,33.4,71,50,91,1430,1590
Private,14,Washington University in St. Louis,MO,8.75,33261,31,6819,62300,17,49770,49770,50200,62300,49/51,6819,A+,B+,A+,A+,A+,A-,A,A+,B,24,5,22,559,17,1400-1550,64.6,51,78.3,71,49,93,1400,1550
Private,12,Duke University,NC,7.38,21295,12,6611,76700,11,51265,51265,66900,76700,51/49,6611,A+,A+,B,A+,A,A-,B-,B+,C+,9,#N/A,23,568,11,1360-1550,87,94,91.4,78.1,51,93,1360,1550
private,73,Tulane University,LA,7.13,32075,86,6331,52400,31,51010,51010,43900,52400,42/58,6331,A+,A-,C+,A+,B+,A+,A,B,C,95,30,69,578,31,1240-1410,66,75,70,71,42,91,1240,1410
Private,60,University of Rochester,NY,5.38,33682,46,6046,55500,34,50142,50142,41800,55500,51/49,6046,A+,B-,B-,B+,B,B,C+,B-,B-,51,56,60,587,34,1250-1450,49.3,32.1,42.6,71,51,93,1250,1450
Private,4,Yale University,CT,8.13,18164,8,5509,66000,7,49480,49480,60200,66000,51/49,5509,A+,A-,A+,A+,A+,A,B,A,C,7,#N/A,6,615,7,1430-1600,90.4,100,63.2,99.8,51,92,1430,1600
Private,37,Wake Forest University,NC,7.13,24929,78,4807,61000,29,49308,49308,44400,61000,47/53,4807,A+,A+,B,A+,B+,A-,C+,B+,B-,#N/A,21,91,656,29,1270-1410,66,75,70,71,47,93,1270,1410
Private,15,Dartmouth College,NH,6.5,21348,42,6819,67100,11,51438,51438,54400,67100,51/49,6819,A+,B+,B+,A-,A,B-,D+,A,B,31,#N/A,16,691,11,1330-1560,51.3,31.4,70.5,49.1,51,90,1330,1560
private,91,University of Tulsa,OK,7.63,25355,91,3478,43200,40,40484,40484,36000,43200,58/42,3478,A+,A,A,A,A,B+,B,B+,B-,75,69,854,768,40,1130-1400,66,75,70,71,58,88,1130,1400
Private,52,University of Richmond,VA,8,21744,52,3051,60800,31,49420,49420,44900,60800,47/53,3051,A+,A,A-,A+,A,A,B+,A,C,#N/A,11,67,810,31,1220-1420,66,75,70,71,47,95,1220,1420
Private,45,Colgate University,NY,6.5,21741,45,2834,61500,27,51955,51955,39800,61500,45/55,2834,A+,B+,B-,A,B+,A,C+,C+,B+,#N/A,#N/A,84,827,27,1250-1450,66,75,70,71,45,93,1250,1450
Private,56,Wesleyan University,CT,6.88,22257,56,2820,50900,22,50912,50912,34800,50900,46/54,2820,A+,B-,B+,A,A,B+,C+,A+,C+,#N/A,#N/A,64,828,22,1300-1480,66,75,70,71,46,90,1300,1480
private,74,College of the Holy Cross,MA,6.13,24728,74,2698,63700,37,48940,48940,45600,63700,50/50,2698,A+,B+,B-,A,B+,B+,C+,B-,B-,#N/A,#N/A,#N/A,842,37,1230-1370,66,75,70,71,50,95,1230,1370
Private,28,Middlebury College,VT,6.75,20197,28,2516,53400,17,50063,50063,44600,53400,47/53,2516,A+,B+,B+,A,A+,C+,D+,A+,B,#N/A,#N/A,66,870,17,1270-1500,66,75,70,71,47,87,1270,1500
Private,48,Wellesley College,MA,5.63,22138,48,2344,56700,28,50840,50840,37500,56700,0/100,2344,A+,A,A-,A,A-,C-,D+,A-,A,720,#N/A,38,897,28,1290-1490,66,75,70,71,0,94,1290,1490
private,80,Franklin & Marshall College,PA,6.25,23092,80,2217,54800,32,53280,54280,38800,54800,48/52,2217,A+,B-,B,A-,B+,B+,B,B+,C+,#N/A,54,1081,923,32,1200-1420,66,75,70,71,48,95,1200,1420
private,78,Macalester College,MN,7.38,28009,78,2138,45700,39,50639,50639,228400,45700,39/61,2138,A+,B-,B,A,A-,B,A,A-,A-,#N/A,#N/A,87,929,39,1240-1470,66,75,70,71,39,89,1240,1470
Private,25,Carleton College,MN,7,31568,25,1997,46100,21,50874,50874,35100,46100,49/51,1997,A+,B-,A-,A+,A-,B,B,B+,B,#N/A,#N/A,35,946,21,1320-1520,66,75,70,71,49,93,1320,1520
Private,57,Hamilton College,NY,6.25,21907,57,1862,57300,25,51240,51240,36400,57300,49/51,1862,A+,B,B+,A,A-,B,C,B,B-,#N/A,#N/A,1150,975,25,1310-1470,66,75,70,71,49,90,1310,1470
Private,30,Washington & Lee University,VA,6.75,21379,30,1851,77600,24,48267,48267,54900,77600,51/49,1851,A+,B-,A,A-,A-,A,B-,B-,B-,64,15,1152,979,24,1310-1470,66,75,70,71,51,94,1310,1470
Private,44,Davidson College,NC,6.88,22865,44,1784,58500,22,48376,48376,40300,58500,50/50,1784,A+,B+,A,A,A-,B,B,B-,B-,#N/A,#N/A,#N/A,993,22,1260-1440,66,75,70,71,50,88,1260,1440
Private,18,Pomona College,CA,8,18423,18,1651,53600,10,49352,49352,34600,53600,50/50,1651,A+,B-,A+,A+,A+,B,B+,A+,B,#N/A,#N/A,26,1018,10,1360-1530,66,75,70,71,50,90,1360,1530
Private,31,Swarthmore College,PA,6.13,21580,31,1571,49400,12,49104,49104,34500,49400,50/50,1571,A+,B-,A-,A,B+,B-,B-,B,C+,48,#N/A,39,1029,12,1340-1530,66,75,70,71,50,85,1340,1530
Private,71,Bryn Mawr College,PA,6.88,32630,71,1332,50400,39,48790,48790,38200,50400,0/100,1332,A+,A,A-,A,A+,B-,B,A+,B+,#N/A,#N/A,1305,1082,39,1240-1460,66,75,70,71,0,89,1240,1460
Private,2,Massachusetts Institute of Technology,MA,7.75,21691,1,4492,91600,8,48452,48452,77900,91600,54/46,4492,A+,B-,A-,A+,B+,A,A+,B+,B,1,3,1,1083,8,1430-1580,100,100,99.9,100,54,91,1430,1580
Private,6,Princeton University,NJ,8,17901,6,5277,75100,7,45320,45320,48300,75100,52/48,5277,A+,B+,A,A+,A,B+,B,A,B+,3,#N/A,#N/A,1083,7,1390-1590,91,100,100,97.3,52,87,1390,1590
Private,10,California Institute of Technology,CA,6.25,23213,4,1001,74000,9,47577,47577,56100,74000,61/39,1001,A+,C+,A-,A-,A-,B-,B,B-,B,5,#N/A,5,1083,9,1500-1600,97.7,99.5,100,85.4,61,89,1500,1600
Private,11,Columbia University,NY,7.63,17678,10,7523,72900,7,55056,55056,62900,72900,53/47,7523,A+,B,B,A+,A-,A-,A,A,B-,15,12,13,1083,7,1380-1570,88.9,99.9,62.3,98.1,53,93,1380,1570
Private,17,University of Chicago,IL,7.25,33107,5,5978,62800,8,53649,53649,50000,62800,52/48,5978,A+,B-,A,A+,A,B+,B+,B,B-,#N/A,#N/A,19,1083,8,1440-1600,93.5,99.9,85.9,92.9,52,91,1440,1600
Private,21,Northwestern University,IL,7.25,30552,15,8247,64100,13,50855,50855,53400,64100,50/50,8247,A+,A+,C,A+,B+,A-,B+,B+,B,26,20,30,1083,13,1400-1560,84.8,91.3,75.4,76.6,50,92,1400,1560
Private,26,Harvey Mudd College,CA,5.63,34529,26,815,78600,13,52666,52666,68500,78600,53/47,815,A+,A,B,A,B,B,B-,B,B+,34,#N/A,15,1083,13,1400-1560,66,75,70,71,53,89,1400,1560
Private,27,Emory University,GA,7.75,25928,38,6751,59000,24,47954,47954,54500,59000,42/58,6751,A+,C+,A,A,A+,B+,A,A,B-,#N/A,23,57,1083,24,1270-1490,54.4,35.5,70.5,71,42,92,1270,1490
Private,33,Barnard College,NY,6.25,23741,33,2511,57400,15,50394,50394,41100,57400,0/100,2511,A+,A+,C+,A+,B+,A-,A,B,B,#N/A,#N/A,1014,1083,15,1260-1450,66,75,70,71,0,86,1260,1450
Private,34,Claremont McKenna College,CA,6.88,29894,34,1327,63600,11,50945,50945,48200,63600,51/49,1327,A+,B-,A-,A,B+,B+,B-,A+,C+,#N/A,#N/A,50,1083,11,1340-1530,66,75,70,71,51,92,1340,1530
Public,35,Georgia Institute of Technology,GA,7.38,12736,25,13668,74000,32,12212,32404,59400,74000,64/36,13668,A+,A+,C+,A+,A-,A,A-,B-,B-,4,38,8,1083,32,1310-1500,70.1,79.1,99.1,79.4,64,93,1310,1500
Private,38,Haverford College,PA,6.63,21056,38,1233,55600,25,51259,51259,32400,55600,49/52,1233,A+,B-,B,A,B+,B+,A-,B-,B,#N/A,#N/A,58,1083,25,1320-1530,66,75,70,71,49,92,1320,1530
Private,47,Lehigh University,PA,6.38,27715,97,5001,76800,26,48320,48320,58500,76800,55/45,5001,A+,B,B-,A,B,A+,B-,B-,B-,46,35,71,1083,26,1230-1420,66,75,47.6,71,55,97,1230,1420
